Country,"Oil production April 2022 (bbl/day)"
United States,"11,884,154"
Saudi Arabia,"10,644,394"
Russia,"10,278,370"
Canada,"4,543,800"
Iraq,"4,470,506"
China,"4,089,997"
United Arab Emirates,"3,467,870"
Iran,"3,293,401"
Brazil,"3,021,505"
Kuwait,"2,825,724"
Kazakhstan,"1,726,514"
Mexico,"1,715,914"
Norway,"1,704,297"
Qatar,"1,321,192"
Nigeria,"1,316,415"
Algeria,"1,211,863"
Angola,"1,165,993"
Oman,"1,063,251"
Libya,"1,057,890"
Colombia,"751,876"
United Kingdom,"744,965"
Venezuela,"703,658"
Azerbaijan,"666,869"
Indonesia,"610,532"
India,"607,890"
Argentina,"582,289"
Egypt,"567,652"
Malaysia,"502,082"
Ecuador,"479,518"
Australia,"310,919"
Guyana,"275,545"
Republic of the Congo,"272,928"
Gabon,"195,808"
Turkmenistan,"195,109"
Bahrain,"188,469"
Ghana,"179,890"
Vietnam,"179,249"
South Sudan,"155,110"
Thailand,"143,083"
Equatorial Guinea,"118,384"
Syria,"85,742"
Italy,"83,151"
Brunei,"83,759"
Chad,"81,329"
Pakistan,"83,000"
Turkey,"69,012"
Sudan,"64,880"
Denmark,"64,791"
Romania,"61,281"
Cameroon,"59,743"
Trinidad and Tobago,"58,436"
Yemen,"48,565"
Peru,"40,538"
Papua New Guinea,"35,917"
Uzbekistan,"34,379"
Tunisia,"33,320"
Germany,"33,242"
Cuba,"32,079"
Belarus,"31,756"
C̫te d'Ivoire,"30,298"
Netherlands,"29,451"
Bolivia,"28,460"
Democratic Republic of the Congo,"21,000"
Hungary,"17,873"
Poland,"17,151"
Mongolia,"15,888"
Albania,"15,003"
Serbia,"14,170"
East Timor,"14,000"
Suriname,"14,000"
France,"11,969"
Croatia,"10,977"
Austria,"9,953"
Niger,"8,000"
Myanmar,"7,400"
Ukraine,"6,672"
New Zealand,"6,551"
Guatemala,"6,188"
Japan,"3,243"
Bangladesh,"3,000"
Chile,"2,000"
Czech Republic,"1,687"
Greece,"1,497"
Belize,"1,106"
Barbados,"1,000"
Bulgaria,"1,000"
South Africa,950
Philippines,925
Lithuania,700
Kyrgyzstan,658
Tajikistan,316
Georgia,276
Taiwan,196
Slovakia,43
Morocco,25
Jordan,20
Spain,19
World,"80,618,895"
